0,0,0,0,227,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,228,
0,0,0,0,259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,260,
0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
0,0,0,0,258,0,0,0,0,0,0,225,167,3,3,3,3,3,3,3,167,226,0,0,0,0,0,0,0,257,
0,0,0,0,258,0,0,0,0,0,0,257,36,36,36,36,36,36,36,36,36,258,0,0,0,0,0,0,0,257,
0,0,0,0,258,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,257,
0,0,0,0,258,0,0,0,0,0,0,257,2,228,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,257,
0,0,0,227,258,0,0,0,0,0,0,289,323,260,0,0,0,0,0,0,0,262,4,4,3,2,4,3,4,261,
0,0,0,259,290,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,36,36,34,34,34,36,36,36,36,
0,0,227,258,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,259,290,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,
0,0,258,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,2,4,2,3,259,36,260,
0,227,258,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,227,2,259,36,36,36,290,0,257,
0,259,290,0,0,0,0,0,0,0,225,3,3,261,0,0,0,0,0,0,227,259,36,290,0,0,0,0,0,257,
0,258,0,0,0,0,0,0,225,3,261,35,35,35,0,0,0,0,0,0,259,290,0,0,0,0,0,0,0,257,
227,258,0,0,225,3,3,3,261,35,35,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,257,
259,290,0,0,257,34,34,35,35,0,0,0,0,0,0,0,0,227,2,2,258,0,0,0,0,0,0,0,0,257,
258,0,0,0,257,34,34,34,0,0,0,0,0,0,0,0,0,36,36,36,290,0,0,0,0,0,0,0,0,257,
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
291,4,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
323,35,258,0,0,0,0,0,226,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,257,
0,0,258,0,0,0,225,3,258,0,0,0,0,0,0,0,227,258,0,0,0,0,0,0,0,0,0,0,0,257,
0,0,258,0,0,0,257,35,290,0,0,0,0,0,0,227,259,290,0,0,0,0,0,0,0,0,0,0,0,257,
227,4,258,0,0,0,257,0,0,0,0,0,0,0,227,259,290,0,0,0,0,0,0,0,0,0,0,0,0,257,
259,34,290,0,0,0,257,0,0,0,0,0,0,0,259,290,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
258,0,0,0,0,0,257,228,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
258,0,0,0,0,0,289,293,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
262,3,3,3,3,3,3,261,0,0,0,0,0,0,262,2,2,2,2,2,2,2,2,2,2,2,2,2,2,261,
35,35,35,35,35,35,35,35,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
